iter	Passed	Remaining
0	2	1018
1	3	925
2	5	930
3	8	1002
4	9	971
5	14	1200
6	16	1185
7	18	1142
8	20	1102
9	22	1082
10	23	1063
11	25	1038
12	27	1029
13	29	1038
14	32	1046
15	34	1032
16	35	1020
17	37	1017
18	40	1017
19	42	1012
20	43	1002
21	46	1004
22	48	1004
23	50	999
24	52	988
25	53	983
26	55	976
27	57	972
28	59	966
29	62	976
30	65	984
31	66	979
32	69	977
33	70	971
34	72	964
35	74	958
36	76	953
37	78	950
38	80	954
39	82	952
40	84	949
41	86	944
42	88	939
43	90	933
44	91	929
45	94	932
46	96	931
47	98	927
48	100	925
49	102	921
50	104	916
51	105	910
52	107	905
53	109	902
54	111	904
55	114	905
56	116	904
57	118	903
58	120	901
59	122	896
60	124	894
61	126	893
62	129	895
63	130	890
64	132	888
65	134	884
66	136	880
67	138	877
68	139	873
69	142	873
70	144	873
71	146	871
72	148	871
73	151	869
74	152	865
75	154	862
76	156	860
77	159	862
78	161	860
79	163	858
80	165	855
81	167	852
82	169	849
83	170	845
84	172	843
85	175	844
86	177	843
87	179	840
88	181	836
89	182	833
90	184	829
91	186	826
92	188	824
93	191	826
94	193	823
95	194	820
96	196	817
97	198	814
98	200	811
99	202	809
100	204	808
101	207	808
102	209	807
103	211	804
104	213	801
105	214	798
106	216	794
107	218	791
108	219	789
109	222	788
110	224	786
111	226	783
112	228	782
113	230	779
114	232	777
115	234	775
116	236	773
117	238	772
118	240	770
119	242	767
120	244	765
121	246	762
122	247	759
123	249	756
124	251	754
125	254	754
126	256	753
127	258	751
128	260	749
129	262	746
130	264	744
131	265	741
132	268	740
133	270	740
134	272	737
135	274	735
136	276	733
137	278	730
138	280	728
139	282	725
140	284	724
141	287	723
142	289	721
143	290	718
144	292	716
145	294	715
146	296	712
147	298	710
148	301	709
149	303	708
150	305	705
151	307	703
152	309	701
153	311	698
154	313	696
155	314	694
156	317	693
157	319	692
158	321	689
159	323	688
160	326	686
161	327	684
162	329	681
163	331	679
164	334	678
165	336	676
166	338	674
167	340	672
168	342	670
169	344	668
170	346	665
171	348	664
172	351	665
173	353	663
174	355	661
175	358	659
176	360	657
177	362	656
178	365	655
179	367	652
180	368	649
181	370	647
182	372	645
183	374	643
184	376	641
185	378	639
186	381	638
187	383	636
188	385	634
189	387	632
190	389	629
191	391	627
192	393	625
193	395	624
194	398	622
195	400	620
196	401	618
197	404	616
198	406	614
199	408	612
200	410	610
201	412	608
202	415	607
203	418	606
204	420	604
205	422	603
206	424	601
207	427	600
208	429	598
209	431	596
210	433	593
211	435	591
212	437	589
213	439	587
214	441	585
215	444	584
216	446	582
217	448	580
218	450	578
219	452	575
220	454	573
221	456	571
222	458	569
223	461	568
224	463	565
225	464	563
226	467	561
227	469	559
228	470	557
229	474	556
230	476	555
231	478	553
232	480	550
233	482	548
234	484	546
235	486	544
236	488	541
237	492	541
238	495	540
239	496	538
240	498	535
241	500	533
242	502	531
243	504	529
244	507	528
245	510	526
246	512	524
247	513	522
248	515	519
249	517	517
