row_index,scoutId,luxury_score,floor_heating,guest_toilet,built_in_kitchen,garage_available,air_conditioning,dishwasher,bathtub,laminate_floor,parquet_floor,double_glazing,green_view,quiet_neighborhood,near_public_transport,_parse_failed
154,110908934,8.0,True,,True,True,,,True,False,True,,,,,
155,84867476,6.0,,,True,,,True,True,,,,,,,
156,115312391,5.0,,,,,,,,,,,,True,,
157,111370209,8.0,True,True,,True,,,True,False,True,True,,,,
158,106735874,4.0,,,True,,,,,True,False,,,,,
159,110745391,3.0,,,,,,,True,True,False,,,True,True,
160,111035244,4.0,,,True,,,,,True,False,,,,,
161,113593417,7.0,True,,True,True,,True,,False,True,,,,,
162,114334591,6.0,True,,,True,,,True,True,False,True,,,,
163,87928570,5.0,,,True,,,,True,True,False,,,,,
164,113163971,3.0,,,,,,,,True,False,,,,,
165,109940808,6.0,True,,,True,,,,False,True,,,,,
166,104980905,5.0,,,,,,,True,True,False,,,,,
167,109002453,,,,,,,,,,,,,,,True
168,108485791,,,,,,,,,,,,,,,True
169,105399946,,,,,,,,,,,,,,,True
170,114877803,,,,,,,,,,,,,,,True
171,110380963,,,,,,,,,,,,,,,True
172,107356126,,,,,,,,,,,,,,,True
173,107079001,,,,,,,,,,,,,,,True
174,113345621,6.0,True,,,,,,,True,True,True,,True,True,
175,114400812,4.0,,True,True,,,,,,,,,,,
176,109931562,3.0,,,,,,,,,,,,,,
177,113435482,7.0,True,,,True,,,,,,True,,,,
178,111353638,3.0,,,,,,,,True,,,,,,
179,115583062,5.0,,,,True,,True,,,,True,,,,
180,115486548,4.0,,,,,,,True,True,,True,,,,
181,115164917,5.0,True,,,True,,,,,,True,,,,
182,79343710,3.0,,,,,,,,True,,,,,,
183,106992698,4.0,,,,,,,,,,,,True,True,
184,113845967,4.0,,,,,,,,True,,,,,,
185,111262383,5.0,True,,,,,True,,,,,,,,
186,115536035,4.0,,,,,,,True,,,,,,,
187,113297201,4.0,,,,,,,,,,,,,,
188,106811769,,,,,,,,,,,,,,,True
189,110132489,,,,,,,,,,,,,,,True
190,113765856,,,,,,,,,,,,,,,True
191,113802179,,,,,,,,,,,,,,,True
192,105846279,,,,,,,,,,,,,,,True
193,115685298,,,,,,,,,,,,,,,True
194,112185558,3.0,,,,,,,True,True,,,,,True,
195,112681713,9.0,True,,,True,,,,,True,True,,,,
196,115387527,6.0,,True,True,,,True,True,,True,,,,,
197,103804986,4.0,,,,,,,True,,,,True,True,,
198,115495500,5.0,,,,,,,True,,,,,,,
199,88835856,4.0,,,,,,,True,True,,,,True,,
200,115200338,6.0,,,True,,,,True,,True,,,,,
201,108372054,3.0,,,,,,,True,,,,,,,
202,104475691,4.0,,,,,,True,True,,,,,True,,
203,107309803,3.0,,,,True,,,True,,,,,,,
204,106240070,5.0,,,True,,,,True,True,,,,,,
205,110953883,6.0,,,True,,,,True,,True,,,,,
206,82527734,4.0,,,,,,,True,,,,,,,
207,110679141,5.0,,True,,,,,True,,,,True,,,
208,115700540,6.0,,,True,,,,True,,True,,,,,
209,106216337,,,,,,,,,,,,,,,True
210,93260754,,,,,,,,,,,,,,,True
211,113807245,,,,,,,,,,,,,,,True
212,111413875,,,,,,,,,,,,,,,True
213,115679814,,,,,,,,,,,,,,,True
214,105400310,4.0,,,,,,,True,,,,,True,True,
215,111080403,5.0,,,True,True,,,True,True,,,,,,
216,115444285,7.0,,,True,,,,True,,,,True,True,,
217,113218376,4.0,,,,,,,True,True,,True,,,,
218,109602437,8.0,True,True,,True,,,True,,,True,,,,
219,106957193,5.0,,,,,,,,True,,,True,True,,
220,110518821,6.0,,,,,,,True,True,,,,,,
221,110165119,6.0,,,,,,,True,True,,,,,,
222,107606927,7.0,,,True,True,,,True,,True,,True,,,
223,110638119,5.0,,,,,,,True,True,,True,,,,
224,104696717,8.0,,,True,True,,,True,,True,,True,,,
225,107189540,4.0,,,,,,,True,True,,,,,,
226,109250700,6.0,,,True,True,,,,,,,,,,
227,108843404,5.0,,,,,,,True,True,,,,,,
228,81767976,8.0,,,True,True,,,True,,,,,,,
229,114495685,,,,,,,,,,,,,,,True
230,111330111,,,,,,,,,,,,,,,True
231,111389149,,,,,,,,,,,,,,,True
232,89051407,,,,,,,,,,,,,,,True
233,103637034,,,,,,,,,,,,,,,True
234,94653437,5.0,,,True,,,,True,,,True,,,,
235,113576561,2.0,,,,,,,,,,,,True,,
236,102635562,3.0,,,,,,,,,,,,True,,
237,113380138,6.0,,,True,,,,True,True,,True,,,,
238,115121424,3.0,,,,,,,,True,,,,,,
239,75996529,9.0,True,True,True,True,,,True,True,,,True,,,
240,107330219,4.0,,,,,,,True,,,,,True,,
241,115638188,6.0,,,True,,,,True,,True,,,,,
242,111230027,5.0,,,True,,,,,True,,,,True,,
243,110601297,6.0,,,True,,,True,True,True,,,,,,
244,97017960,7.0,True,,True,True,,,True,,True,,,,,
245,95484916,4.0,,,,,,,True,True,,,True,,,
246,69649796,4.0,,,,,,,True,True,,,,,,
247,110552571,5.0,,,True,,,True,True,True,,,,,,
248,113826886,6.0,,,True,,,,True,True,,,,,,
249,111080345,,,,,,,,,,,,,,,True
250,110307971,,,,,,,,,,,,,,,True
251,115667316,,,,,,,,,,,,,,,True
252,105870686,,,,,,,,,,,,,,,True
