row_index,scoutId,luxury_score,floor_heating,guest_toilet,built_in_kitchen,garage_available,air_conditioning,dishwasher,bathtub,laminate_floor,parquet_floor,double_glazing,green_view,quiet_neighborhood,near_public_transport,_parse_failed
0,96107057,3.0,,,,True,,,True,True,,,True,,,
1,111378734,6.0,,True,,False,,,,,,True,,,,
2,113147523,8.0,True,True,,True,,,True,,True,True,,,,
3,108890903,2.0,,,,,,,,,,,,,,
4,114751222,5.0,,,,True,,,True,,,,True,,,
5,115531145,3.0,,,True,,,,,,,,,,,
6,114391930,3.0,,,,,,,True,,,,,,,
7,115270775,6.0,True,,,,,,True,,True,True,,,,
8,106416361,7.0,,,True,True,,,,,True,,,,,
9,91383597,4.0,,,,,,,True,True,,,,,,
10,112923517,3.0,,,,,,,True,True,,,True,,,
11,109842225,6.0,,,,,,,True,,,,,,,
12,111251778,5.0,,,,,,,,,True,,,,,
13,101730329,7.0,True,True,,True,,,True,,,True,,,,
14,92798563,5.0,,,,,,,True,True,,,,,,
15,106896167,,,,,,,,,,,,,,,True
16,93522345,,,,,,,,,,,,,,,True
17,107018003,,,,,,,,,,,,,,,True
18,111227157,,,,,,,,,,,,,,,True
19,113019528,,,,,,,,,,,,,,,True
20,110416311,8.0,True,True,True,True,,,True,True,True,True,True,True,,
21,113836264,5.0,,,True,,True,,True,,,,,,,
22,111412293,7.0,True,,,True,,,True,,,True,,,,
23,113626688,6.0,,,,,,,True,True,True,True,,,,
24,111337159,4.0,,,,,,,,True,,,,,,
25,115506913,5.0,,,,,,,,True,,,,,,
26,115403430,7.0,True,,,True,,,True,,,,,,,
27,114132653,4.0,,,,,,,True,,,,,True,,
28,111398027,8.0,True,,True,True,,True,True,,True,,True,,True,
29,111018701,6.0,,,,,,,,True,,,,,,
30,105494876,5.0,,,,,,,,,,,,,True,
31,107002234,7.0,True,,True,,,True,True,,,,,,,
32,112411856,3.0,,,,,,,,True,,,,,True,
33,113322419,,,,,,,,,,,,,,,True
34,93735747,,,,,,,,,,,,,,,True
35,84094659,,,,,,,,,,,,,,,True
36,111185200,,,,,,,,,,,,,,,True
37,113850656,,,,,,,,,,,,,,,True
38,113061748,,,,,,,,,,,,,,,True
39,113998693,,,,,,,,,,,,,,,True
40,56883893,6.0,,True,,,,,True,,,True,True,,,
41,107366896,2.0,,,,,,,True,,,,,,,
42,102534814,5.0,,True,True,True,,,True,True,,True,True,,,
43,114832896,4.0,,,,True,,,,,,,,,,
44,84603557,3.0,,,,,,,True,,,True,True,,,
45,115671495,8.0,,,True,True,,,,,True,,,,,
46,110341073,6.0,,,,,,True,True,True,,,,,,
47,110876214,3.0,,,,True,,,True,,,,,,,
48,113054252,4.0,True,,True,True,,,True,,,True,,,,
49,110536481,5.0,,,,,,,True,True,,,,,,
50,115654986,4.0,,,,,,,True,True,,,,,,
51,85631434,5.0,,,True,,,,True,True,,,,,,
52,112400650,4.0,,,,,,,True,True,,,,,,
53,115708085,,,,,,,,,,,,,,,True
54,110963486,,,,,,,,,,,,,,,True
55,113859440,,,,,,,,,,,,,,,True
56,112914907,,,,,,,,,,,,,,,True
57,103855727,,,,,,,,,,,,,,,True
58,106886187,,,,,,,,,,,,,,,True
59,115631820,,,,,,,,,,,,,,,True
60,106825668,8.0,True,,True,,True,True,,,True,True,,True,,
61,113359456,3.0,,,,,,True,True,,,,,,,
62,110788212,4.0,,,True,,,,,,,,,,,
63,114894763,2.0,,,,,,,True,True,,,,,,
64,108344196,6.0,True,,True,,,,True,,,,True,,,
65,111181684,5.0,,,True,True,,,,True,,,,,,
66,113790155,5.0,,,True,True,,,,,,,,True,,
67,115644428,3.0,,,,,,,,,,,,True,True,
68,105172764,6.0,True,True,,True,,,True,True,,True,,,,
69,111086214,7.0,True,,True,True,,True,,,True,True,True,,,
70,115535984,4.0,,,True,,,,,True,,,,,,
71,111348962,3.0,,,,,,,True,True,,,,True,,
72,104507526,3.0,,,,,,,,,,,,,,
73,110723519,5.0,True,,True,,,True,True,,,,,,,
74,115689050,4.0,,,,,,,True,True,,,,,,
75,114424603,,,,,,,,,,,,,,,True
76,113441961,,,,,,,,,,,,,,,True
77,113704695,,,,,,,,,,,,,,,True
78,114557181,,,,,,,,,,,,,,,True
79,85193798,,,,,,,,,,,,,,,True
80,104572376,,,,,,,,,,,,,,,
81,110946767,7.0,True,True,,True,,,,,True,True,,,,
82,93327725,5.0,,,,,,,True,True,,,,,,
83,49115348,,,,,,,,,True,,,,,,
84,115692523,,,,,,,,,,,,,,,
85,113505477,,,,True,,,,True,,True,,,,,
86,107589685,6.0,True,True,True,True,,,,,True,True,,,,
87,114773727,,,,,,,,True,True,,True,,,,
88,111147935,6.0,True,,,True,,,True,True,,True,,,,
89,111198398,,,,,,,,,,,,,,,
90,114620522,,,,,,,,,True,,,,True,,
91,106508409,,,,,,,,,,,,,,,
92,113724686,,,,,,,,,,,,True,,,
93,102907588,,,,,,,,,,,,,,,
94,82071122,,,,,,,,,,,,,,,
95,106148208,,,,,,,,,,,,,,,True
96,115639691,,,,,,,,,,,,,,,True
97,89425153,,,,,,,,,,,,,,,True
98,32421022,,,,,,,,,,,,,,,True
99,57436467,,,,,,,,,,,,,,,True
100,115537467,6.0,,True,True,True,,,True,False,True,,,True,,
101,109003470,3.0,,True,,,,,True,False,False,,,,,
102,88525047,5.0,,,True,True,,,,False,False,,True,,,
103,106893801,2.0,,,True,,,,,True,False,,,,,
104,103502361,2.0,,,,,,,,False,False,,,,,
105,109877029,6.0,True,,,True,,,True,False,False,True,,,,
106,109680485,3.0,,,,,,,True,False,False,,,,,
107,110923925,7.0,True,,True,,,,,False,True,True,,,,
108,109419794,2.0,,,True,,,,,True,False,,,,,
109,106957084,3.0,,,,,,,True,True,False,,,True,,
110,111246477,4.0,,,,,,,,False,False,True,True,,,
111,53976835,3.0,,,,,,,,True,False,,,,,
112,115228222,5.0,,,,,,,True,True,False,,True,,,
113,115672272,6.0,True,,True,True,,True,,False,True,True,,,,
114,101687259,,,,,,,,,,,,,,,True
115,113180289,,,,,,,,,,,,,,,True
116,113666495,,,,,,,,,,,,,,,True
117,106772205,,,,,,,,,,,,,,,True
118,108881424,,,,,,,,,,,,,,,True
119,111290130,,,,,,,,,,,,,,,True
120,110950240,5.0,,,,,,,,True,,,,,,
121,112426195,3.0,,,,,,,True,True,,,,True,,
122,107359516,2.0,,,,,,,,,,,,,,
123,113650097,6.0,,,True,,,,True,,True,,,,,
124,111479650,8.0,,True,True,True,,True,True,,True,,,,,
125,59296588,2.0,,,,,,,,True,,,,,,
126,113764604,7.0,True,,True,True,,True,,,True,,True,,,
127,109279297,3.0,,,,,,,,True,,,,,,
128,114174884,4.0,,,True,,,,True,,,,,,,
129,36739653,5.0,,,,,,,,True,,True,,,,
130,113525351,4.0,,,,,,,True,,True,,,,,
131,113779952,6.0,,,True,,,True,,,,,,,,
132,82801546,3.0,,,,,,,True,True,,,,,,
133,106837560,5.0,,,True,,,True,,,,,,,,
134,113497440,,,,,,,,,,,,,,,True
135,113830299,,,,,,,,,,,,,,,True
136,109640248,,,,,,,,,,,,,,,True
137,104719799,,,,,,,,,,,,,,,True
138,111168065,,,,,,,,,,,,,,,True
139,115572141,,,,,,,,,,,,,,,True
140,113778390,3.0,,,,,,,,True,,,,,,
141,78331512,6.0,,True,,True,,,True,True,,True,True,True,,
142,113829068,5.0,,,,,,,,,,True,,,,
143,86190147,6.0,,True,True,True,,,True,,True,,,True,,
144,94465542,3.0,,,True,,,,,,,,,,,
145,107371410,4.0,,,,,,,True,,,,,,,
146,90046012,2.0,,,,,,,,,,,,,,
147,107891233,5.0,,,True,True,,,,True,,,,,,
148,110129803,7.0,,,True,,,,,,,,,,,
149,102376260,3.0,,,,,,,,,,,,,,
150,114466884,8.0,True,,,True,,,True,,True,,,,,
151,89518276,6.0,True,,True,,,,,,,True,,,,
152,111372798,5.0,,,,,,,,True,True,,,,,
153,107299630,4.0,,True,,True,,,True,True,,,,,,
154,110908934,7.0,True,,True,True,,True,True,,True,,,,,
155,84867476,,,,,,,,,,,,,,,True
156,115312391,,,,,,,,,,,,,,,True
157,111370209,,,,,,,,,,,,,,,True
158,106735874,,,,,,,,,,,,,,,True
159,110745391,,,,,,,,,,,,,,,True
160,111035244,3.0,,,True,,,,,True,,,,,,
161,113593417,8.0,True,,True,,,True,,,True,True,,,,
162,114334591,4.0,,True,True,,,,True,True,,,,,,
163,87928570,6.0,,,,True,,,,,,,,,,
164,113163971,7.0,True,,True,True,True,True,,,True,True,,,,
165,109940808,5.0,True,,True,,,,,,True,True,,,,
166,104980905,4.0,,,True,,,,True,True,,,,,,
167,109002453,5.0,,,,True,,,True,,,,,,,
168,108485791,4.0,,,,,,,,True,,True,,,,
169,105399946,6.0,True,True,True,,,True,,,,,,,,
170,114877803,3.0,,,True,,,,,,,,,,,
171,110380963,3.0,,,,,,,,,,,,,,
172,107356126,7.0,True,,,True,,,,,,,,,,
173,107079001,4.0,,,,,,,True,True,,,,,,
174,113345621,5.0,True,,True,,,,,,,True,,,,
175,114400812,,,,,,,,,,,,,,,True
176,109931562,,,,,,,,,,,,,,,True
177,113435482,,,,,,,,,,,,,,,True
178,111353638,,,,,,,,,,,,,,,True
179,115583062,,,,,,,,,,,,,,,True
180,115486548,6.0,,True,True,True,,,True,True,,,,,,
181,115164917,5.0,,,,True,,,,,,,,True,,
182,79343710,8.0,True,True,,,,,,,True,,,,,
183,106992698,4.0,,,,,,,,True,,,,,,
184,113845967,7.0,,,True,,,True,,True,True,,,,,
185,111262383,5.0,,True,,,,,True,True,,,,,,
186,115536035,3.0,,,,,,,,,,,,,,
187,113297201,4.0,,,,,,,,True,,,,,,
188,106811769,8.0,True,,True,True,,True,,,True,True,,,,
189,110132489,6.0,,True,True,,,True,True,True,,,,,,
190,113765856,4.0,,,,,,,,True,,,True,,,
191,113802179,3.0,,,,,,,,True,,,,True,,
192,105846279,5.0,,,True,True,,True,,True,,,,,,
193,115685298,6.0,,,,,,,,True,,,,,True,
194,112185558,,,,,,,,,,,,,,,True
195,112681713,,,,,,,,,,,,,,,True
196,115387527,,,,,,,,,,,,,,,True
197,103804986,,,,,,,,,,,,,,,True
198,115495500,,,,,,,,,,,,,,,True
199,88835856,,,,,,,,,,,,,,,True
200,115200338,7.0,,,True,,,,True,True,True,,,,,
201,108372054,2.0,,,,,,,True,,,,,,,
202,104475691,5.0,,,,,,,True,,,,,,,
203,107309803,4.0,,,,,,,,,,,True,True,True,
204,106240070,1.0,,,,,,,,,,,,,,
205,110953883,6.0,,,True,True,,,,,,,,,,
206,82527734,3.0,,,,,,,True,,,,,,,
207,110679141,5.0,,,,,,,True,True,,,,,,
208,115700540,2.0,,,,,,,,,,,,,,
209,106216337,6.0,,True,,,,,True,,,,True,,,
210,93260754,5.0,,,,,,,True,,,,,,,
211,113807245,7.0,True,,True,True,,,,,True,True,,,,
212,111413875,4.0,,,,,,,True,True,,True,,,,
213,115679814,3.0,,,,True,,,,,,,,,,
