luxury_score,renovation_status,floor_heating,guest_toilet,listing
2,normal,False,False,
6,refurbished,False,True,
3,first_occupancy,False,False,
1,normal,False,False,
2,refurbished,False,False,
2,normal,False,False,
4,normal,False,False,
5,normal,False,False,
3,normal,False,False,
3,normal,False,False,
4,refurbished,False,False,
4,normal,False,False,
3,refurbished,False,False,
2,normal,False,False,
3,first_occupancy,False,False,
3,normal,False,False,
4,first_occupancy,False,False,
9,normal,False,True,
5,normal,False,False,
6,refurbished,False,False,
4,normal,False,True,
7,refurbished,True,False,
3,normal,False,False,
5,refurbished,False,False,
4,normal,False,False,
8,refurbished,True,False,
6,refurbished,True,False,
4,normal,False,False,
5,refurbished,False,False,
4,normal,False,False,
3,normal,False,False,
4,normal,False,False,
2,normal,False,False,
3,normal,False,False,
5,normal,False,True,
2,normal,False,False,
2,normal,False,False,
8,refurbished,False,False,
3,normal,False,False,
5,normal,True,True,
6,refurbished,False,True,
3,normal,False,False,
4,refurbished,False,False,
4,refurbished,False,False,
3,normal,False,False,
6,refurbished,True,True,
5,refurbished,False,False,
3,refurbished,False,False,
3,refurbished,False,False,
5,refurbished,False,False,
8,refurbished,False,False,
3,normal,False,False,
2,normal,False,False,
1,normal,False,False,
2,normal,False,False,
4,normal,False,False,
7,first_occupancy,True,False,
2,normal,False,False,
5,refurbished,False,True,
3,normal,False,False,
3,normal,False,False,
2,normal,False,False,
6,refurbished,True,False,
4,normal,False,False,
7,refurbished,False,False,
5,first_occupancy,False,False,
6,refurbished,False,False,
5,refurbished,False,False,
4,refurbished,False,False,
7,refurbished,True,True,
6,second_occupancy,False,True,
8,first_occupancy,True,False,
4,normal,False,False,
7,first_occupancy,True,False,
6,refurbished,False,False,
5,refurbished,False,False,
4,refurbished,False,False,
6,refurbished,False,False,
7,refurbished,False,False,
8,refurbished,False,False,
5,refurbished,False,False,
6,normal,False,True,
3,normal,False,False,
3,normal,False,False,
3,normal,False,False,
3,normal,False,False,
4,normal,False,False,
5,normal,False,False,
8,refurbished,True,True,
4,normal,False,False,
5,refurbished,False,False,
6,refurbished,False,False,
7,refurbished,False,False,
8,first_occupancy,True,True,
6,refurbished,False,False,
5,refurbished,False,True,
5,normal,False,False,
3,normal,False,False,
2,normal,False,False,
2,normal,False,False,
6,normal,False,True,
5,refurbished,False,False,
3,normal,False,False,
3,normal,False,False,
5,normal,False,False,
6,refurbished,False,False,
4,normal,False,False,
7,first_occupancy,False,False,
4,refurbished,False,False,
4,refurbished,False,False,
6,refurbished,False,False,
7,first_occupancy,False,False,
3,refurbished,False,False,
5,refurbished,False,True,
3,refurbished,False,False,
2,normal,False,False,
4,refurbished,False,False,
4,refurbished,False,False,
2,normal,False,False,
3,normal,False,False,
7,refurbished,False,False,
4,refurbished,False,False,
6,refurbished,True,False,
3,normal,False,False,
1,normal,False,False,
6,refurbished,False,False,
5,refurbished,False,False,
8,first_occupancy,True,True,
4,refurbished,False,False,
3,refurbished,False,False,
2,normal,False,False,
6,refurbished,False,False,
2,normal,False,False,
8,refurbished,False,False,
7,refurbished,False,False,
6,normal,False,False,
5,refurbished,False,False,
2,normal,False,False,
2,normal,False,False,
5,refurbished,False,False,
7,refurbished,False,False,
3,normal,False,False,
6,refurbished,False,False,
7,refurbished,False,False,
5,normal,False,False,
6,refurbished,False,True,
4,refurbished,False,False,
5,normal,False,False,
6,refurbished,False,False,
7,refurbished,False,False,
5,normal,False,True,
3,first_occupancy,False,False,
8,first_occupancy,False,True,
6,refurbished,False,False,
7,refurbished,False,False,
5,normal,False,True,
4,normal,False,False,
4,refurbished,False,False,
6,refurbished,True,False,
8,refurbished,False,True,
5,refurbished,False,False,
3,normal,False,False,
7,refurbished,False,False,
8,refurbished,False,False,
4,normal,False,False,
6,refurbished,False,False,
2,normal,False,False,
2,normal,False,False,
2,normal,False,False,
1,normal,False,False,
1,normal,False,False,
4,refurbished,False,False,
3,refurbished,False,False,
3,normal,False,False,
6,refurbished,False,True,
3,normal,False,False,
4,normal,False,False,
4,refurbished,False,False,
4,normal,False,False,
2,normal,False,False,
8,refurbished,True,True,
4,refurbished,False,False,
6,refurbished,False,False,
4,refurbished,False,True,
